sender,receiver,edge_type
DrMRLD,DrMRLD,quote-tweet
DrMRLD,siwelwerd,quote-tweet
DrMRLD,darrenglass,quote-tweet
DrMRLD,dtkung,mention
DrMRLD,xanderfaber,mention
DrMRLD,WanderingPoint,mention
DrMRLD,WanderingPoint,mention
DrMRLD,washcoll,mention
dropoutnation,WanderingPoint,retweet
dropoutnation,WanderingPoint,mention
drspoulsen,DrMRLD,retweet
drspoulsen,DrMRLD,retweet
drspoulsen,mathillustrated,retweet
drspoulsen,WanderingPoint,retweet
drspoulsen,WanderingPoint,retweet
drspoulsen,DrMRLD,retweet
drspoulsen,DrMRLD,mention
drspoulsen,DrMRLD,mention
drspoulsen,mathillustrated,mention
drspoulsen,timchartier,mention
drspoulsen,WanderingPoint,mention
drspoulsen,WanderingPoint,mention
drspoulsen,DrMRLD,mention
drspoulsen,washcoll,mention
dtkung,dtkung,reply
dtkung,dtkung,reply
dtkung,dtkung,quote-tweet
dtkung,maanow,quote-tweet
dtkung,JointMath,mention
dtkung,maanow,mention
dtkung,FedericoArdila,mention
ecology_chris,pwr2dppl,retweet
ecology_chris,Shelby_M_Scott,retweet
ecology_chris,pwr2dppl,mention
ecology_chris,Shelby_M_Scott,mention
EdsiNetwork,WanderingPoint,retweet
EdsiNetwork,ClaudioJacobo,retweet
EdsiNetwork,mathprofcarrie,retweet
EdsiNetwork,WanderingPoint,mention
EdsiNetwork,ClaudioJacobo,mention
EdsiNetwork,mathprofcarrie,mention
EdsiNetwork,mathprofcarrie,mention
EdsiNetwork,vanessaarceliaa,mention
EdsiNetwork,pwr2dppl,mention
ef_math,virtualcourtney,retweet
ef_math,virtualcourtney,mention
elizabethmunch,pwr2dppl,retweet
elizabethmunch,WanderingPoint,retweet
elizabethmunch,pwr2dppl,retweet
elizabethmunch,mathyadriana,retweet
elizabethmunch,pwr2dppl,mention
elizabethmunch,WanderingPoint,mention
elizabethmunch,pwr2dppl,mention
elizabethmunch,JointMath,mention
elizabethmunch,mathyadriana,mention
EllisMathEd,mathprofcarrie,retweet
EllisMathEd,mathprofcarrie,mention
EllisMathEd,jmm2021,mention
